# CAMPAIGN req 19 (R-H31): per core-ffi case of the codec suite (full build), one call of the timed operation, counted by name in the host (AK_HOST_COUNT).
# fields: payload content arm dir mode | fwd N (every exported entry point called, resets included) rev N (core->host callbacks, grow excluded) grow N (ak_grow_fn calls, exact-size) reset N (of fwd: ak_dec_reset_<Root>, one before and one after each decode) | entry=count ...
P5.1 ascii core-ffi decode-read drop | fwd 5 rev 1 grow 0 reset 2 | ak_dec_err=1 ak_dec_err_reset=1 ak_dec_reset_UploadResultDataMessage=2 ak_decode_UploadResultDataMessage=1
P5.1 ascii core-ffi decode-read retain | fwd 5 rev 1 grow 0 reset 2 | ak_dec_err=1 ak_dec_err_reset=1 ak_dec_reset_UploadResultDataMessage=2 ak_decode_UploadResultDataMessage=1
P5.1 ascii core-ffi-pull decode-read drop | fwd 4 rev 0 grow 0 reset 2 | ak_bdr_ptr=1 ak_dec_reset_UploadResultDataMessage=2 ak_parse_UploadResultDataMessage=1
P5.2 ascii core-ffi encode drop | fwd 3 rev 0 grow 0 reset 0 | ak_enc_reset=1 ak_enc_take=1 ak_encode_UploadResultDataMessage=1
P5.2 ascii core-ffi encode retain | fwd 3 rev 0 grow 0 reset 0 | ak_enc_reset=1 ak_enc_take=1 ak_uencode_UploadResultDataMessage=1
P5.2 ascii core-ffi encode-hot drop | fwd 3 rev 0 grow 0 reset 0 | ak_enc_reset=1 ak_enc_take=1 ak_encode_UploadResultDataMessage=1
P5.2 ascii core-ffi encode-hot retain | fwd 3 rev 0 grow 0 reset 0 | ak_enc_reset=1 ak_enc_take=1 ak_uencode_UploadResultDataMessage=1
P5.2 ascii core-ffi encode-transport drop | fwd 3 rev 0 grow 0 reset 0 | ak_enc_reset=1 ak_enc_take=1 ak_encode_UploadResultDataMessage=1
P5.2 ascii core-ffi encode-transport retain | fwd 3 rev 0 grow 0 reset 0 | ak_enc_reset=1 ak_enc_take=1 ak_uencode_UploadResultDataMessage=1
P5.2 ascii core-ffi encode-transport-hot drop | fwd 3 rev 0 grow 0 reset 0 | ak_enc_reset=1 ak_enc_take=1 ak_encode_UploadResultDataMessage=1
P5.2 ascii core-ffi encode-transport-hot retain | fwd 3 rev 0 grow 0 reset 0 | ak_enc_reset=1 ak_enc_take=1 ak_uencode_UploadResultDataMessage=1
P5.2 ascii core-ffi decode drop | fwd 5 rev 1 grow 0 reset 2 | ak_dec_err=1 ak_dec_err_reset=1 ak_dec_reset_UploadResultDataMessage=2 ak_decode_UploadResultDataMessage=1
P5.2 ascii core-ffi decode retain | fwd 5 rev 1 grow 0 reset 2 | ak_dec_err=1 ak_dec_err_reset=1 ak_dec_reset_UploadResultDataMessage=2 ak_decode_UploadResultDataMessage=1
P5.2 ascii core-ffi-pull decode drop | fwd 4 rev 0 grow 0 reset 2 | ak_bdr_ptr=1 ak_dec_reset_UploadResultDataMessage=2 ak_parse_UploadResultDataMessage=1
P5.2 ascii core-ffi decode-read drop | fwd 5 rev 1 grow 0 reset 2 | ak_dec_err=1 ak_dec_err_reset=1 ak_dec_reset_UploadResultDataMessage=2 ak_decode_UploadResultDataMessage=1
P5.2 ascii core-ffi decode-read retain | fwd 5 rev 1 grow 0 reset 2 | ak_dec_err=1 ak_dec_err_reset=1 ak_dec_reset_UploadResultDataMessage=2 ak_decode_UploadResultDataMessage=1
P5.2 ascii core-ffi-pull decode-read drop | fwd 4 rev 0 grow 0 reset 2 | ak_bdr_ptr=1 ak_dec_reset_UploadResultDataMessage=2 ak_parse_UploadResultDataMessage=1
P5.3 ascii core-ffi encode drop | fwd 3 rev 0 grow 0 reset 0 | ak_enc_reset=1 ak_enc_take=1 ak_encode_UploadResultDataMessage=1
